timestamp,omegaIx,omegaIy,omegaIz,accel_weight,renorm_val,error_rp,error_yaw
1683558668.5190833,-0.003601009724661708,-0.003562945406883955,-0.0032075303606688976,0.0,0.0,0.0024233409203588963,0.0012126746587455273
1683558669.5180702,-0.0036158552393317223,-0.0035775185097008944,-0.003222245490178466,0.0,0.0,0.0024233933072537184,0.0011734392028301954
1683558670.5172265,-0.003630582708865404,-0.003591900924220681,-0.0032368928659707308,0.0,0.0,0.002399965887889266,0.0010754875838756561
1683558671.516903,-0.0036451839841902256,-0.003606225363910198,-0.003251509740948677,0.0,0.0,0.0023839897476136684,0.0010519314091652632
1683558672.5168023,-0.003659704001620412,-0.0036207162775099277,-0.0032661203294992447,0.0,0.0,0.0023875755723565817,0.0010798394214361906
1683558673.5170622,-0.003674181876704097,-0.003635140834376216,-0.0032806978560984135,0.0,0.0,0.0024077524431049824,0.0011439290829002857
1683558674.5159135,-0.0036886767484247684,-0.0036497211549431086,-0.0032952846959233284,0.0,0.0,0.002435472793877125,0.0011831807205453515
1683558675.516521,-0.003703200491145253,-0.003664313815534115,-0.0033098729327321053,0.0,0.0,0.0024080469738692045,0.0010869007091969252
1683558676.5180664,-0.003717874176800251,-0.0036790124140679836,-0.003324509132653475,0.0,0.0,0.0024049701169133186,0.0010411457624286413
1683558677.5177147,-0.0037326645106077194,-0.003693664213642478,-0.00333914696238935,0.0,0.0,0.0024026697501540184,0.0010562678799033165
1683558678.5174592,-0.003747427836060524,-0.0037082950584590435,-0.003353774780407548,0.0,0.0,0.0023969162721186876,0.0011356505565345287
1683558679.5174415,-0.0037621259689331055,-0.0037229324225336313,-0.0033683818764984608,0.0,0.0,0.0024367214646190405,0.0011999886482954025
1683558680.5167613,-0.003776784986257553,-0.003737457562237978,-0.0033829896710813046,0.0,0.0,0.002433453220874071,0.0011297084856778383
1683558681.516455,-0.003791411640122533,-0.003751821117475629,-0.003397587453946471,0.0,0.0,0.002390889683738351,0.0010727306362241507
1683558682.5155237,-0.003806056920439005,-0.0037662028335034847,-0.0034121819771826267,0.0,0.0,0.002408014377579093,0.0010716249234974384
1683558683.5157013,-0.003820684039965272,-0.003780849277973175,-0.0034267613664269447,0.0,0.0,0.002409836044535041,0.0011119472328573465
1683558684.5113358,-0.00383524177595973,-0.0037957450840622187,-0.00344131444580853,0.0,0.0,0.0024247504770755768,0.001195488846860826
1683558685.5109322,-0.003849739907309413,-0.0038105284329503775,-0.003455831902101636,0.0,0.0,0.0024245090316981077,0.0011271352414041758
1683558686.5128376,-0.003864223137497902,-0.0038253231905400753,-0.0034703477285802364,0.0,0.0,0.0023996890522539616,0.0010578318033367395
1683558687.51158,-0.0038788029924035072,-0.0038400969933718443,-0.003484887769445777,0.0,0.0,0.002390328561887145,0.0010602339170873165
1683558688.511334,-0.0038935006596148014,-0.0038547925651073456,-0.0034994606394320726,0.0,0.0,0.0024250089190900326,0.001115095685236156
1683558689.5138652,-0.003908136393874884,-0.0038696392439305782,-0.003514024196192622,0.0,0.0,0.0024417887907475233,0.0011839460348710418
1683558690.5121553,-0.003922712989151478,-0.0038843275979161263,-0.0035285567864775658,0.0,0.0,0.002459155861288309,0.0011394271859899163
1683558691.5130506,-0.003937308210879564,-0.0038989041931927204,-0.003543110564351082,0.0,0.0,0.0024297358468174934,0.0010759395081549883
1683558692.5096164,-0.0039519271813333035,-0.003913374617695808,-0.0035576524678617716,0.0,0.0,0.0024015475064516068,0.0010349918156862259
1683558693.5098352,-0.003966505639255047,-0.003927906509488821,-0.0035721648018807173,0.0,0.0,0.002390222391113639,0.0010640393011271954
1683558694.5102732,-0.00398103566840291,-0.003942476119846106,-0.003586667124181986,0.0,0.0,0.0024050523061305285,0.0011507371673360467
1683558695.5096028,-0.0039954413659870625,-0.003957080189138651,-0.0036011519841849804,0.0,0.0,0.0024392735213041306,0.001186217530630529
1683558696.5103846,-0.004009850323200226,-0.003971871454268694,-0.003615671070292592,0.0,0.0,0.002423549070954323,0.001097124069929123
1683558697.5104067,-0.004024378955364227,-0.003986560273915529,-0.0036302192602306604,0.0,0.0,0.002413117792457342,0.0010653154458850622
1683558698.5074952,-0.004039039835333824,-0.004001088906079531,-0.003644801676273346,0.0,0.0,0.0024067210033535957,0.0010906363604590297
1683558699.5064874,-0.004053810145705938,-0.004015516955405474,-0.003659415990114212,0.0,0.0,0.0024327433202415705,0.0011504018912091851
1683558700.5101898,-0.004068679641932249,-0.0040298630483448505,-0.0036740461364388466,0.0,0.0,0.002437274670228362,0.0011792051373049617
1683558701.5055447,-0.004083598032593727,-0.004044070839881897,-0.003688669763505459,0.0,0.0,0.002435961738228798,0.0010680410778149962
1683558702.505563,-0.004098461475223303,-0.004058201797306538,-0.0037032603286206722,0.0,0.0,0.0023962543345987797,0.001024192781187594
1683558703.5064533,-0.0041131977923214436,-0.004072318784892559,-0.0037178192287683487,0.0,0.0,0.002369529101997614,0.0010427698725834489
