timestamp,time_boot_ms,x,y,z,vx,vy,vz
1683560073.1235647,714502,-0.014848991297185421,0.022508515045046806,-0.030157988891005516,-0.01690475456416607,0.02568904682993889,-0.0009139750618487597
1683560073.1616156,714542,-0.014755895361304283,0.022368816658854485,-0.03116842359304428,-0.0168334748595953,0.025600723922252655,-0.0011343208607286215
1683560073.181422,714562,-0.014749499037861824,0.022360656410455704,-0.03161948546767235,-0.016807181760668755,0.02561360038816929,-0.0012088015209883451
1683560073.2014434,714582,-0.014768162742257118,0.022391190752387047,-0.03203737735748291,-0.01682315208017826,0.025654591619968414,-0.0012721692910417914
1683560073.2211647,714602,-0.014811058528721333,0.022458581253886223,-0.03242441266775131,-0.016872422769665718,0.025723105296492577,-0.0013376155402511358
1683560073.2613385,714642,-0.014964410103857517,0.02269679866731167,-0.03352269530296326,-0.016963742673397064,0.025914540514349937,-0.0015580273466184735
1683560073.2813988,714662,-0.015072712674736977,0.022864358499646187,-0.0340147539973259,-0.017033394426107407,0.026015130802989006,-0.0016819217707961798
1683560073.301265,714682,-0.014950873330235481,0.022682461887598038,-0.034459445625543594,-0.016961848363280296,0.02589471824467182,-0.0017760517075657845
1683560073.3212163,714702,-0.014860382303595543,0.022547908127307892,-0.03487294912338257,-0.01691240631043911,0.025810811668634415,-0.0018859552219510078
1683560073.3612244,714742,-0.014766826294362545,0.02241114340722561,-0.036020029336214066,-0.016856815665960312,0.025706151500344276,-0.0021318744402378798
1683560073.3811994,714762,-0.014760726131498814,0.02240409143269062,-0.03653521463274956,-0.016850609332323074,0.025693921372294426,-0.0022302723955363035
1683560073.401297,714782,-0.014779718592762947,0.022435497492551804,-0.03701496869325638,-0.016847634688019753,0.02573198638856411,-0.002331714378669858
1683560073.4210484,714802,-0.0148225799202919,0.022503502666950226,-0.037461914122104645,-0.016877498477697372,0.025774318724870682,-0.002435281639918685
1683560073.46138,714842,-0.014974568970501423,0.02274135686457157,-0.037837352603673935,-0.01692935638129711,0.025915928184986115,-0.002532707992941141
1683560073.4812813,714862,-0.0150819793343544,0.02290843240916729,-0.038005098700523376,-0.01700366660952568,0.026019655168056488,-0.0025776869151741266
