timestamp,time_boot_ms,q1,q2,q3,q4,rollspeed,pitchspeed,yawspeed,repr_offset_q_0,repr_offset_q_1,repr_offset_q_2,repr_offset_q_3
1683560073.1229618,714502,0.9906652569770813,0.007932394742965698,0.12348871678113937,-0.057183995842933655,0.00023107591550797224,0.0002783233067020774,0.0006920296000316739,0.0,0.0,0.0,0.0
1683560073.1615157,714542,0.9906655550003052,0.007930239662528038,0.12348734587430954,-0.05718144029378891,0.00021701748482882977,0.00025646446738392115,0.0006651642033830285,0.0,0.0,0.0,0.0
1683560073.1813643,714562,0.99066561460495,0.007930241525173187,0.12348691374063492,-0.05718188360333443,0.0002810489386320114,0.0002748846309259534,0.0006052355747669935,0.0,0.0,0.0,0.0
1683560073.2013855,714582,0.9906654953956604,0.007929912768304348,0.12348775565624237,-0.057181667536497116,0.0002453187480568886,0.0004036080790683627,0.0006145332008600235,0.0,0.0,0.0,0.0
1683560073.221111,714602,0.9906655550003052,0.00793063547462225,0.12348766624927521,-0.057181429117918015,0.0003216157201677561,0.0003033617977052927,0.0005963193252682686,0.0,0.0,0.0,0.0
1683560073.261287,714642,0.99066561460495,0.007931211031973362,0.12348778545856476,-0.05717913433909416,0.0002397735370323062,0.00025919079780578613,0.0006357893580570817,0.0,0.0,0.0,0.0
1683560073.2813516,714662,0.99066561460495,0.007931625470519066,0.12348835915327072,-0.0571785569190979,0.00023669411893934011,0.0003546393709257245,0.0006698269862681627,0.0,0.0,0.0,0.0
1683560073.301215,714682,0.9906655550003052,0.007931828498840332,0.12348898500204086,-0.05717805400490761,0.00021038472186774015,0.0002371189184486866,0.0006337509257718921,0.0,0.0,0.0,0.0
1683560073.3211677,714702,0.99066561460495,0.007930917665362358,0.12348869442939758,-0.057177361100912094,0.00025180564261972904,0.00036360323429107666,0.000652736984193325,0.0,0.0,0.0,0.0
1683560073.3611717,714742,0.990665853023529,0.007928992621600628,0.12348775565624237,-0.05717609077692032,0.00028392556123435497,0.00030503026209771633,0.0006284309783950448,0.0,0.0,0.0,0.0
