timestamp,roll,pitch,yaw,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lng
1683558766.5097296,-2.6479911596766215e-09,0.24700304865837097,-0.12217314541339874,2.3955440521240234,2.657261120475596e-06,-9.500320434570312,2.630478945775394e-09,6.814646069663866e-10,6.750833780877485e-10,-353632621,1491652374
1683558767.508544,-2.3605652987868098e-09,0.24700304865837097,-0.12217314541339874,2.3955442905426025,2.582186198196723e-06,-9.500322341918945,2.0606829576053087e-09,-5.190787244480077e-10,5.165337046975083e-10,-353632621,1491652374
1683558768.5082633,-2.679604094169008e-09,0.24700304865837097,-0.12217314541339874,2.3955440521240234,1.7323717429462704e-06,-9.500323295593262,1.4435186379557763e-09,2.0077703943854885e-09,3.4633546031059836e-10,-353632621,1491652374
1683558769.5080676,-2.703006041215872e-09,0.24700304865837097,-0.12217314541339874,2.3955435752868652,1.842106826188683e-06,-9.500320434570312,-8.728304190519509e-10,1.3348819827285752e-09,-2.3894713985228577e-10,-353632621,1491652374
1683558770.5075827,-2.6456543622543904e-09,0.24700304865837097,-0.12217314541339874,2.3955435752868652,1.5886819255683804e-06,-9.500321388244629,-5.736554342661293e-09,2.632776774369461e-10,-1.457594267506579e-09,-353632621,1491652374
1683558771.5071104,-2.8524496098469854e-09,0.24700304865837097,-0.12217314541339874,2.3955423831939697,2.481470801285468e-06,-9.50031852722168,-3.5717750979102902e-09,7.092813558706723e-10,-9.211612028714455e-10,-353632621,1491652374
1683558772.5082808,-2.813603350304561e-09,0.24700304865837097,-0.12217314541339874,2.3955438137054443,2.131737119270838e-06,-9.500321388244629,-1.303225194426716e-09,2.1491735058276618e-09,-3.2454858245323237e-10,-353632621,1491652374
1683558773.5079541,-2.743879345956657e-09,0.24700304865837097,-0.12217314541339874,2.395543098449707,1.9298204279039055e-06,-9.500319480895996,-1.7386071471392484e-09,-2.1854502652018937e-09,-4.743445081167863e-10,-353632621,1491652374
1683558774.5084178,-2.8158857467985854e-09,0.24700304865837097,-0.12217314541339874,2.39554500579834,2.8666875095950672e-06,-9.500322341918945,-1.745125821628335e-09,-1.8113135991093543e-10,-4.14403428239396e-10,-353632621,1491652374
1683558775.5080345,-2.7054203322052217e-09,0.24700304865837097,-0.12217314541339874,2.395543336868286,1.854179004112666e-06,-9.500316619873047,6.048956335824585e-10,1.6828908266930398e-09,1.6212640951973611e-10,-353632621,1491652374
