timestamp,latitude,longitude,altitude,x,y,z,q_0,q_1,q_2,q_3,approach_x,approach_y,approach_z,time_usec
1683558011.9581814,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1408442500
1683558016.252699,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1412742500
1683558022.249451,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1418742500
1683558028.2488759,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1424742500
1683558034.2463138,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1430742500
1683558040.2477562,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1436742500
1683558046.2437325,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1442742500
1683558052.242397,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1448742500
1683558058.238739,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1454742500
1683558064.2383854,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1460742500
1683558070.233703,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1466742500
1683558076.2323482,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1472742500
1683558082.2310078,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1478742500
1683558088.2292511,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1484742500
1683558094.2300255,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1490742500
1683558100.2280397,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1496742500
1683558106.2239172,-353632622,1491652376,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1502742500
1683558112.2219343,-353632622,1491652375,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1508742500
1683558118.2170472,-353632622,1491652375,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1514742500
1683558124.2159011,-353632621,1491652374,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1520742499
1683558130.2149587,-353632621,1491652373,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1526742499
1683558136.214578,-353632621,1491652373,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1532742499
1683558142.2139852,-353632620,1491652373,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1538742499
1683558148.2095637,-353632620,1491652372,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1544742499
1683558154.2065086,-353632620,1491652372,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1550742499
1683558160.2029703,-353632620,1491652372,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1556742499
1683558166.206111,-353632620,1491652372,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1562742499
1683558172.2019653,-353632620,1491652372,584380,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1568742499
