timestamp,Vcc,I2Cerr
1683558011.9599998,5000,0
1683558012.9575133,5000,0
1683558013.9569252,5000,0
1683558014.953907,5000,0
1683558015.9534566,5000,0
1683558016.9529555,5000,0
1683558017.9514244,5000,0
1683558018.9515147,5000,0
1683558019.950617,5000,0
1683558020.950331,5000,0
1683558021.9500844,5000,0
1683558022.9496775,5000,0
1683558023.95154,5000,0
1683558024.9523213,5000,0
1683558025.948208,5000,0
1683558026.9478097,5000,0
1683558027.9497926,5000,0
1683558028.949258,5000,0
1683558029.9476657,5000,0
1683558030.9478824,5000,0
1683558031.9475033,5000,0
1683558032.9472463,5000,0
1683558033.9491026,5000,0
1683558034.9483364,5000,0
1683558035.9448109,5000,0
1683558036.946627,5000,0
1683558037.9470537,5000,0
1683558038.9466739,5000,0
1683558039.9455867,5000,0
1683558040.9439745,5000,0
1683558041.9457397,5000,0
1683558042.9467936,5000,0
1683558043.9423454,5000,0
1683558044.9463384,5000,0
1683558045.9442196,5000,0
1683558046.94401,5000,0
1683558047.9454582,5000,0
1683558048.9412458,5000,0
1683558049.9453526,5000,0
1683558050.943454,5000,0
1683558051.943379,5000,0
1683558052.9415762,5000,0
1683558053.940845,5000,0
1683558054.938736,5000,0
1683558055.9422085,5000,0
1683558056.9428587,5000,0
1683558057.9394674,5000,0
1683558058.9387953,5000,0
1683558059.9414105,5000,0
1683558060.937684,5000,0
1683558061.9376254,5000,0
1683558062.9398446,5000,0
1683558063.9378438,5000,0
1683558064.938835,5000,0
1683558065.9351368,5000,0
1683558066.9360902,5000,0
1683558067.9364166,5000,0
1683558068.937525,5000,0
1683558069.938813,5000,0
1683558070.934929,5000,0
1683558071.9352098,5000,0
1683558072.9369147,5000,0
1683558073.9351153,5000,0
1683558074.936949,5000,0
1683558075.932047,5000,0
1683558076.9325964,5000,0
1683558077.9332318,5000,0
1683558078.9342256,5000,0
1683558079.9339736,5000,0
1683558080.9306424,5000,0
1683558081.9311283,5000,0
1683558082.9313893,5000,0
1683558083.931434,5000,0
1683558084.9329457,5000,0
1683558085.9312341,5000,0
1683558086.928313,5000,0
1683558087.9280689,5000,0
1683558088.9304936,5000,0
1683558089.9316633,5000,0
1683558090.9270608,5000,0
1683558091.9276967,5000,0
1683558092.9304588,5000,0
1683558093.9305172,5000,0
1683558094.9304407,5000,0
1683558095.9303243,5000,0
1683558096.925525,5000,0
1683558097.9267519,5000,0
1683558098.928032,5000,0
1683558099.927272,5000,0
1683558100.9286492,5000,0
1683558101.9281294,5000,0
1683558102.9233158,5000,0
1683558103.9225876,5000,0
1683558104.9229474,5000,0
1683558105.9247098,5000,0
1683558106.9242716,5000,0
1683558107.9239745,5000,0
1683558108.9236546,5000,0
1683558109.9233305,5000,0
1683558110.9229653,5000,0
1683558111.9228659,5000,0
1683558112.9223835,5000,0
1683558113.9241524,5000,0
