timestamp,Vcc,I2Cerr
1683558114.9238276,5000,0
1683558115.92305,5000,0
1683558116.9226398,5000,0
1683558117.917922,5000,0
1683558118.9175448,5000,0
1683558119.9173613,5000,0
1683558120.9171393,5000,0
1683558121.917267,5000,0
1683558122.9169595,5000,0
1683558123.9166663,5000,0
1683558124.9165106,5000,0
1683558125.9158063,5000,0
1683558126.9155364,5000,0
1683558127.9154935,5000,0
1683558128.9148824,5000,0
1683558129.9158566,5000,0
1683558130.9164014,5000,0
1683558131.916056,5000,0
1683558132.9163573,5000,0
1683558133.9160771,5000,0
1683558134.9157,5000,0
1683558135.915533,5000,0
1683558136.915,5000,0
1683558137.9162245,5000,0
1683558138.915863,5000,0
1683558139.9154701,5000,0
1683558140.9151568,5000,0
1683558141.9147937,5000,0
1683558142.914501,5000,0
1683558143.914222,5000,0
1683558144.9137769,5000,0
1683558145.9094744,5000,0
1683558146.9089277,5000,0
1683558147.9101164,5000,0
1683558148.9096768,5000,0
1683558149.910754,5000,0
1683558150.9112124,5000,0
1683558151.911463,5000,0
1683558152.9111993,5000,0
1683558153.9072783,5000,0
1683558154.9068365,5000,0
1683558155.9081547,5000,0
1683558156.907701,5000,0
1683558157.9088213,5000,0
1683558158.9085956,5000,0
1683558159.9039123,5000,0
1683558160.9033453,5000,0
1683558161.9067166,5000,0
1683558162.9064188,5000,0
1683558163.9075162,5000,0
1683558164.907061,5000,0
1683558165.9018617,5000,0
1683558166.9065843,5000,0
1683558167.9062247,5000,0
1683558168.9058576,5000,0
1683558169.901989,5000,0
1683558170.9016948,5000,0
1683558171.9026673,5000,0
1683558172.9025986,5000,0
1683558173.9027522,5000,0
1683558174.9019134,5000,0
1683558175.9021258,5000,0
1683558176.9018426,5000,0
1683558177.898597,5000,0
1683558178.8983536,5000,0
1683558179.8999734,5000,0
1683558180.8996584,5000,0
1683558181.900192,5000,0
1683558182.8997734,5000,0
1683558183.9001584,5000,0
1683558184.8998625,5000,0
1683558185.8975103,5000,0
1683558186.8977587,5000,0
1683558187.8973608,5000,0
1683558188.8970811,5000,0
1683558189.898916,5000,0
1683558190.8984785,5000,0
1683558191.8945706,5000,0
1683558192.8942645,5000,0
1683558193.896014,5000,0
1683558194.8958902,5000,0
1683558195.8961825,5000,0
1683558196.8957841,5000,0
1683558197.8961875,5000,0
1683558198.8958704,5000,0
1683558199.8904123,5000,0
1683558200.8901167,5000,0
1683558201.8928173,5000,0
1683558202.892352,5000,0
1683558203.8891459,5000,0
1683558204.8889291,5000,0
1683558205.8900876,5000,0
1683558206.8896315,5000,0
1683558207.8914301,5000,0
1683558208.8910573,5000,0
1683558209.8881698,5000,0
1683558210.8877635,5000,0
1683558211.8887951,5000,0
1683558212.888452,5000,0
1683558213.8882134,5000,0
1683558214.8877974,5000,0
1683558215.8888435,5000,0
1683558216.8886275,5000,0
1683558217.8895168,5000,0
1683558218.889227,5000,0
1683558219.8845503,5000,0
1683558220.8842912,5000,0
1683558221.8852425,5000,0
1683558222.884861,5000,0
1683558223.8854365,5000,0
1683558224.8850348,5000,0
1683558225.8853047,5000,0
1683558226.886448,5000,0
1683558227.8862784,5000,0
1683558228.8858407,5000,0
1683558229.8808653,5000,0
1683558230.8801498,5000,0
1683558231.8807418,5000,0
1683558232.880322,5000,0
1683558233.8815029,5000,0
1683558234.882547,5000,0
1683558235.8835092,5000,0
1683558236.8834708,5000,0
1683558237.877764,5000,0
1683558238.877472,5000,0
1683558239.8787959,5000,0
1683558240.8784058,5000,0
1683558241.8796036,5000,0
1683558242.8807342,5000,0
1683558243.8759809,5000,0
1683558244.8756676,5000,0
1683558245.8767214,5000,0
1683558246.8765118,5000,0
1683558247.8791165,5000,0
1683558248.8785992,5000,0
1683558249.8739147,5000,0
1683558250.8750646,5000,0
1683558251.8763342,5000,0
1683558252.8760679,5000,0
1683558253.876988,5000,0
1683558254.8766718,5000,0
1683558255.8719373,5000,0
1683558256.8717384,5000,0
1683558257.8741233,5000,0
1683558258.8752658,5000,0
1683558259.8757212,5000,0
1683558260.8752596,5000,0
1683558261.87217,5000,0
1683558262.8718636,5000,0
1683558263.8729432,5000,0
1683558264.8725255,5000,0
1683558265.8736482,5000,0
1683558266.8690841,5000,0
1683558267.869511,5000,0
1683558268.869132,5000,0
1683558269.8703399,5000,0
1683558270.869869,5000,0
1683558271.8709192,5000,0
1683558272.8713999,5000,0
1683558273.8673851,5000,0
1683558274.8679056,5000,0
1683558275.8689454,5000,0
1683558276.8685713,5000,0
1683558277.868917,5000,0
1683558278.8686504,5000,0
1683558279.864059,5000,0
1683558280.8638072,5000,0
1683558281.8641777,5000,0
1683558282.8652012,5000,0
1683558283.867088,5000,0
1683558284.8667085,5000,0
1683558285.8627088,5000,0
1683558286.8625042,5000,0
1683558287.863511,5000,0
1683558288.8632214,5000,0
1683558289.8644397,5000,0
1683558290.8654523,5000,0
1683558291.8607547,5000,0
1683558292.8603513,5000,0
1683558293.8608654,5000,0
1683558294.8606348,5000,0
1683558295.8615077,5000,0
1683558296.8611803,5000,0
1683558297.862421,5000,0
1683558298.8627439,5000,0
1683558299.8623745,5000,0
1683558300.8620925,5000,0
1683558301.8574758,5000,0
1683558302.8571265,5000,0
1683558303.8597045,5000,0
1683558304.8593388,5000,0
1683558305.8604414,5000,0
1683558306.8560472,5000,0
1683558307.8562584,5000,0
1683558308.8559308,5000,0
1683558309.8554418,5000,0
1683558310.8550754,5000,0
1683558311.856962,5000,0
1683558312.856635,5000,0
1683558313.8570716,5000,0
1683558314.8531814,5000,0
1683558315.854771,5000,0
1683558316.8545027,5000,0
1683558317.8549402,5000,0
1683558318.8553505,5000,0
1683558319.8508923,5000,0
1683558320.8503609,5000,0
1683558321.8528786,5000,0
1683558322.854121,5000,0
1683558323.8501456,5000,0
1683558324.8497546,5000,0
1683558325.8521748,5000,0
1683558326.8516726,5000,0
1683558327.8528688,5000,0
1683558328.8525012,5000,0
