timestamp,time_unix_usec,time_boot_ms
1683558011.9597094,1683556875415937,1408442
1683558012.9573886,1683556876415937,1409442
1683558013.9567983,1683556877415937,1410442
1683558014.9537559,1683556878415937,1411442
1683558015.9533436,1683556879415937,1412442
1683558016.9528332,1683556880415937,1413442
1683558017.9513223,1683556881415937,1414442
1683558018.9513311,1683556882415937,1415442
1683558019.9504995,1683556883415937,1416442
1683558020.9502137,1683556884415937,1417442
1683558021.949969,1683556885415937,1418442
1683558022.9495506,1683556886415937,1419442
1683558023.9514158,1683556887415937,1420442
1683558024.9521406,1683556888415937,1421442
1683558025.9480803,1683556889415937,1422442
1683558026.947693,1683556890415937,1423442
1683558027.949562,1683556891415937,1424442
1683558028.949138,1683556892415937,1425442
1683558029.9475613,1683556893415937,1426442
1683558030.9477675,1683556894415937,1427442
1683558031.9473863,1683556895415937,1428442
1683558032.9471252,1683556896415937,1429442
1683558033.9489818,1683556897415937,1430442
1683558034.9482102,1683556898415937,1431442
1683558035.9447067,1683556899415937,1432442
1683558036.946507,1683556900415937,1433442
1683558037.9469519,1683556901415937,1434442
1683558038.9465544,1683556902415937,1435442
1683558039.9454627,1683556903415937,1436442
1683558040.9438574,1683556904415937,1437442
1683558041.9456208,1683556905415937,1438442
1683558042.9466932,1683556906415937,1439442
1683558043.9422455,1683556907415937,1440442
1683558044.9462337,1683556908415937,1441442
1683558045.943948,1683556909415937,1442442
1683558046.9438975,1683556910415937,1443442
1683558047.9452698,1683556911415937,1444442
1683558048.941125,1683556912415937,1445442
1683558049.9451523,1683556913415937,1446442
1683558050.943351,1683556914415937,1447442
1683558051.9432187,1683556915415937,1448442
1683558052.9414575,1683556916415937,1449442
1683558053.9407215,1683556917415937,1450442
1683558054.9386282,1683556918415937,1451442
1683558055.9420674,1683556919415937,1452442
1683558056.9427445,1683556920415937,1453442
1683558057.9393492,1683556921415937,1454442
1683558058.9386725,1683556922415937,1455442
1683558059.9412577,1683556923415937,1456442
1683558060.9375677,1683556924415937,1457442
1683558061.9374616,1683556925415937,1458442
1683558062.939728,1683556926415937,1459442
1683558063.9376895,1683556927415937,1460442
1683558064.93872,1683556928415937,1461442
1683558065.935009,1683556929415937,1462442
1683558066.9359696,1683556930415937,1463442
