timestamp,time_boot_ms,chan1_raw,chan2_raw,chan3_raw,chan4_raw,chan5_raw,chan6_raw,chan7_raw,chan8_raw,chan9_raw,chan10_raw,chan11_raw,chan12_raw,chan13_raw,chan14_raw,chan15_raw,chan16_raw,chan17_raw,chan18_raw,chancount,rssi
1683558011.9591644,1408442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558012.957171,1409442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558013.9565725,1410442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558014.9534981,1411442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558015.9531298,1412442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558016.9526122,1413442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558017.9511335,1414442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558018.9509912,1415442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558019.950274,1416442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558020.9499707,1417442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558021.949692,1418442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558022.9493105,1419442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558023.9511752,1420442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558024.9518723,1421442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558025.9478407,1422442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558026.9474742,1423442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558027.949125,1424442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558028.948902,1425442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558029.947362,1426442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558030.947544,1427442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558031.9471595,1428442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558032.946899,1429442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558033.94875,1430442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558034.9479692,1431442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558035.944447,1432442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558036.9462774,1433442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558037.9467494,1434442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558038.9463172,1435442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558039.9452279,1436442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558040.94363,1437442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558041.9453917,1438442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558042.9464967,1439442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558043.9420571,1440442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558044.945978,1441442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558045.9436798,1442442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558046.9436693,1443442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558047.9449656,1444442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558048.9408906,1445442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558049.9448473,1446442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558050.943144,1447442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558051.9429023,1448442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558052.94123,1449442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558053.9404907,1450442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558054.9384341,1451442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558055.9418046,1452442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558056.9425337,1453442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558057.9391239,1454442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558058.9384315,1455442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558059.9410112,1456442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558060.9373357,1457442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558061.9371839,1458442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558062.9395008,1459442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558063.9373674,1460442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558064.9385,1461442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
1683558065.934755,1462442,1500,1500,1000,1500,1800,1000,1000,1800,0,0,0,0,0,0,0,0,0,0,16,255
