timestamp,velocity_variance,pos_horiz_variance,pos_vert_variance,compass_variance,terrain_alt_variance,flags,airspeed_variance
1683558011.9602528,0.006870748940855265,0.006804761942476034,0.016311176121234894,0.008104117587208748,0.0,831,0.0
1683558012.957589,0.0067291222512722015,0.006796753965318203,0.013209921307861805,0.008094636723399162,0.0,831,0.0
1683558013.9570312,0.007016932591795921,0.00677958270534873,0.0006412698421627283,0.008103465661406517,0.0,831,0.0
1683558014.954164,0.00711643835529685,0.006786653771996498,0.011501528322696686,0.008108631707727909,0.0,831,0.0
1683558015.9535584,0.007135879714041948,0.0068034022115170956,0.0019716755487024784,0.0081013860180974,0.0,831,0.0
1683558016.9530303,0.007023575250059366,0.0068124281242489815,0.007942312397062778,0.008092128671705723,0.0,831,0.0
1683558017.9515133,0.00679972767829895,0.006809980142861605,0.006436213850975037,0.008085859008133411,0.0,831,0.0
1683558018.9516363,0.006765480153262615,0.006814260967075825,0.007603596895933151,0.008078758604824543,0.0,831,0.0
1683558019.9507225,0.006709356792271137,0.006792817730456591,0.0005699231987819076,0.008080540224909782,0.0,831,0.0
1683558020.9504025,0.006684096530079842,0.006765407510101795,0.0074127172119915485,0.008072255179286003,0.0,831,0.0
1683558021.9502072,0.006699033547192812,0.006754477974027395,0.004665276035666466,0.008047545328736305,0.0,831,0.0
1683558022.9497597,0.0066634779796004295,0.006741916295140982,0.01571236178278923,0.008037895895540714,0.0,831,0.0
1683558023.9516482,0.0069829486310482025,0.00673473859205842,0.015678593888878822,0.008028913289308548,0.0,831,0.0
1683558024.9524305,0.007108067627996206,0.006735688075423241,0.003382396884262562,0.008027918636798859,0.0,831,0.0
1683558025.9483216,0.007416391745209694,0.006719541270285845,0.00020578961994033307,0.008011911064386368,0.0,831,0.0
1683558026.9478862,0.007459145039319992,0.0066883135586977005,0.00784226506948471,0.00800775084644556,0.0,831,0.0
1683558027.9499578,0.007138984743505716,0.006661089137196541,0.000683338032104075,0.008016904816031456,0.0,831,0.0
1683558028.9493325,0.006837713066488504,0.0066381399519741535,0.01046469435095787,0.008026229217648506,0.0,831,0.0
1683558029.9477513,0.0065667517483234406,0.0066308146342635155,0.006655460689216852,0.008023430593311787,0.0,831,0.0
1683558030.947955,0.006746892351657152,0.0066220881417393684,0.008314223028719425,0.00803401879966259,0.0,831,0.0
1683558031.9476,0.007047808729112148,0.006622385233640671,0.0028967177495360374,0.008043603040277958,0.0,831,0.0
1683558032.947318,0.007391100749373436,0.006640516221523285,0.009343299083411694,0.00803967472165823,0.0,831,0.0
1683558033.9492013,0.007291351445019245,0.0066898963414132595,0.010873720981180668,0.00801948644220829,0.0,831,0.0
1683558034.9484086,0.007646850775927305,0.006716413889080286,0.010028719902038574,0.00803021714091301,0.0,831,0.0
