timestamp,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,id,temperature
1683558011.9592855,1408442500,244,0,-969,3,2,3,347,80,-457,0,4481
1683558012.9572062,1409442500,244,0,-969,3,3,2,347,80,-457,0,4481
1683558013.9566066,1410442500,244,0,-969,3,3,3,347,80,-457,0,4481
1683558014.953534,1411442500,244,0,-969,3,3,2,347,80,-457,0,4481
1683558015.9531622,1412442500,244,0,-969,3,3,3,347,80,-457,0,4481
1683558016.9526446,1413442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558017.9511628,1414442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558018.9510427,1415442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558019.9503067,1416442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558020.9500062,1417442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558021.9497693,1418442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558022.9493475,1419442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558023.951212,1420442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558024.951916,1421442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558025.9478767,1422442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558026.9475076,1423442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558027.9492238,1424442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558028.9489372,1425442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558029.9473932,1426442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558030.9475784,1427442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558031.947195,1428442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558032.9469347,1429442500,244,0,-969,3,3,3,347,80,-457,0,4482
1683558033.948786,1430442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558034.9480069,1431442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558035.9444792,1432442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558036.946314,1433442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558037.9467816,1434442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558038.946354,1435442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558039.9452658,1436442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558040.9436648,1437442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558041.9454298,1438442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558042.9465272,1439442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558043.9420846,1440442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558044.946041,1441442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558045.9437187,1442442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558046.943705,1443442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558047.9450145,1444442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558048.940929,1445442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558049.9448857,1446442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558050.9431758,1447442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558051.9429467,1448442500,244,0,-969,3,3,3,347,80,-457,0,4483
1683558052.9412656,1449442500,244,0,-969,3,3,3,347,80,-457,0,4484
1683558053.9405305,1450442500,244,0,-969,3,3,3,347,80,-457,0,4484
1683558054.9384625,1451442500,244,0,-969,3,3,3,347,80,-457,0,4484
1683558055.941841,1452442500,244,0,-969,3,3,3,347,80,-457,0,4484
1683558056.9425702,1453442500,244,0,-969,3,3,3,347,80,-457,0,4484
1683558057.9391584,1454442500,244,0,-969,3,3,3,347,80,-457,0,4484
