timestamp,brkval,freemem,freemem32
1683558011.9588232,0,65535,131072
1683558012.9570067,0,65535,131072
1683558013.9564185,0,65535,131072
1683558014.9533424,0,65535,131072
1683558015.9529936,0,65535,131072
1683558016.9524636,0,65535,131072
1683558017.9510093,0,65535,131072
1683558018.9507704,0,65535,131072
1683558019.9501214,0,65535,131072
1683558020.9498246,0,65535,131072
1683558021.9495602,0,65535,131072
1683558022.9491596,0,65535,131072
1683558023.9510171,0,65535,131072
1683558024.9515448,0,65535,131072
1683558025.9476957,0,65535,131072
1683558026.9473388,0,65535,131072
1683558027.9488328,0,65535,131072
1683558028.9487429,0,65535,131072
1683558029.9472227,0,65535,131072
1683558030.947398,0,65535,131072
1683558031.9470036,0,65535,131072
1683558032.946747,0,65535,131072
1683558033.94859,0,65535,131072
1683558034.947797,0,65535,131072
1683558035.9443107,0,65535,131072
1683558036.9461224,0,65535,131072
1683558037.9466074,0,65535,131072
1683558038.9461648,0,65535,131072
1683558039.945079,0,65535,131072
1683558040.9434843,0,65535,131072
1683558041.9452455,0,65535,131072
1683558042.9463747,0,65535,131072
1683558043.941927,0,65535,131072
1683558044.9458187,0,65535,131072
1683558045.9434967,0,65535,131072
1683558046.9434943,0,65535,131072
1683558047.9447963,0,65535,131072
1683558048.9407272,0,65535,131072
1683558049.9446774,0,65535,131072
1683558050.9430096,0,65535,131072
1683558051.9427369,0,65535,131072
1683558052.9410794,0,65535,131072
1683558053.9403162,0,65535,131072
1683558054.9383156,0,65535,131072
1683558055.9416544,0,65535,131072
1683558056.9423492,0,65535,131072
1683558057.938971,0,65535,131072
1683558058.9382596,0,65535,131072
1683558059.9408228,0,65535,131072
1683558060.937171,0,65535,131072
1683558061.937011,0,65535,131072
1683558062.9393685,0,65535,131072
1683558063.9371998,0,65535,131072
1683558064.9383378,0,65535,131072
1683558065.934554,0,65535,131072
1683558066.9356003,0,65535,131072
1683558067.9358041,0,65535,131072
1683558068.9370177,0,65535,131072
1683558069.938162,0,65535,131072
1683558070.934319,0,65535,131072
1683558071.9346402,0,65535,131072
1683558072.936481,0,65535,131072
1683558073.9344468,0,65535,131072
1683558074.9364629,0,65535,131072
1683558075.931326,0,65535,131072
1683558076.9321434,0,65535,131072
1683558077.9326127,0,65535,131072
1683558078.9335115,0,65535,131072
1683558079.933214,0,65535,131072
1683558080.9301414,0,65535,131072
1683558081.9306602,0,65535,131072
1683558082.9309363,0,65535,131072
1683558083.9307516,0,65535,131072
1683558084.932455,0,65535,131072
1683558085.930753,0,65535,131072
1683558086.9275274,0,65535,131072
1683558087.927558,0,65535,131072
1683558088.9298992,0,65535,131072
1683558089.93106,0,65535,131072
1683558090.9266043,0,65535,131072
1683558091.9271357,0,65535,131072
1683558092.9300165,0,65535,131072
1683558093.9299157,0,65535,131072
1683558094.9299712,0,65535,131072
1683558095.9297602,0,65535,131072
1683558096.925057,0,65535,131072
1683558097.9262602,0,65535,131072
1683558098.9274647,0,65535,131072
1683558099.926796,0,65535,131072
1683558100.9280727,0,65535,131072
1683558101.9276433,0,65535,131072
1683558102.9227526,0,65535,131072
1683558103.922019,0,65535,131072
1683558104.9224443,0,65535,131072
1683558105.924221,0,65535,131072
1683558106.9237933,0,65535,131072
1683558107.923483,0,65535,131072
1683558108.9232252,0,65535,131072
1683558109.9229128,0,65535,131072
1683558110.922534,0,65535,131072
1683558111.9224422,0,65535,131072
1683558112.921894,0,65535,131072
1683558113.9236631,0,65535,131072
1683558114.923345,0,65535,131072
1683558115.922515,0,65535,131072
1683558116.922165,0,65535,131072
1683558117.917385,0,65535,131072
1683558118.9171193,0,65535,131072
1683558119.9167058,0,65535,131072
1683558120.916584,0,65535,131072
1683558121.9167502,0,65535,131072
1683558122.9164205,0,65535,131072
1683558123.9162235,0,65535,131072
1683558124.9159164,0,65535,131072
1683558125.9153736,0,65535,131072
1683558126.915094,0,65535,131072
1683558127.9150083,0,65535,131072
1683558128.9144075,0,65535,131072
1683558129.9153204,0,65535,131072
1683558130.9158406,0,65535,131072
1683558131.915564,0,65535,131072
1683558132.9159176,0,65535,131072
1683558133.9156442,0,65535,131072
1683558134.9152753,0,65535,131072
1683558135.9149394,0,65535,131072
1683558136.9145203,0,65535,131072
1683558137.915714,0,65535,131072
1683558138.915363,0,65535,131072
1683558139.9149892,0,65535,131072
1683558140.9146771,0,65535,131072
1683558141.9143634,0,65535,131072
1683558142.914012,0,65535,131072
1683558143.9137325,0,65535,131072
1683558144.9133632,0,65535,131072
1683558145.9088116,0,65535,131072
1683558146.9084582,0,65535,131072
1683558147.9095402,0,65535,131072
1683558148.9091222,0,65535,131072
1683558149.910282,0,65535,131072
1683558150.9107149,0,65535,131072
1683558151.91097,0,65535,131072
1683558152.9107082,0,65535,131072
1683558153.90678,0,65535,131072
1683558154.9063258,0,65535,131072
1683558155.9076467,0,65535,131072
1683558156.9072068,0,65535,131072
1683558157.9083238,0,65535,131072
1683558158.9079695,0,65535,131072
1683558159.9033937,0,65535,131072
1683558160.9028594,0,65535,131072
1683558161.9062157,0,65535,131072
1683558162.9059267,0,65535,131072
1683558163.9070241,0,65535,131072
1683558164.9066267,0,65535,131072
1683558165.9013247,0,65535,131072
1683558166.9060183,0,65535,131072
1683558167.9057345,0,65535,131072
1683558168.9053955,0,65535,131072
1683558169.9015534,0,65535,131072
1683558170.9012685,0,65535,131072
1683558171.902188,0,65535,131072
1683558172.9021592,0,65535,131072
1683558173.9023166,0,65535,131072
1683558174.9014816,0,65535,131072
1683558175.9016473,0,65535,131072
1683558176.9014256,0,65535,131072
1683558177.8981657,0,65535,131072
1683558178.8978689,0,65535,131072
1683558179.8995488,0,65535,131072
1683558180.8991747,0,65535,131072
1683558181.899731,0,65535,131072
1683558182.8992863,0,65535,131072
1683558183.8996384,0,65535,131072
1683558184.899431,0,65535,131072
1683558185.8968875,0,65535,131072
1683558186.897263,0,65535,131072
1683558187.8968744,0,65535,131072
1683558188.8965762,0,65535,131072
1683558189.8984036,0,65535,131072
1683558190.8979821,0,65535,131072
1683558191.8941317,0,65535,131072
1683558192.893752,0,65535,131072
1683558193.8955874,0,65535,131072
1683558194.8954499,0,65535,131072
1683558195.8956857,0,65535,131072
1683558196.8952892,0,65535,131072
1683558197.8956854,0,65535,131072
1683558198.8953335,0,65535,131072
1683558199.8899734,0,65535,131072
1683558200.8896918,0,65535,131072
1683558201.8923814,0,65535,131072
1683558202.8918226,0,65535,131072
1683558203.8887093,0,65535,131072
1683558204.888487,0,65535,131072
1683558205.88965,0,65535,131072
1683558206.88917,0,65535,131072
1683558207.8909953,0,65535,131072
1683558208.8905752,0,65535,131072
1683558209.8876917,0,65535,131072
1683558210.8873293,0,65535,131072
1683558211.888287,0,65535,131072
1683558212.8879962,0,65535,131072
1683558213.8877795,0,65535,131072
1683558214.8873012,0,65535,131072
1683558215.8884118,0,65535,131072
1683558216.8880813,0,65535,131072
1683558217.8890007,0,65535,131072
1683558218.8888035,0,65535,131072
1683558219.8841085,0,65535,131072
1683558220.8837817,0,65535,131072
1683558221.8847203,0,65535,131072
1683558222.8843598,0,65535,131072
1683558223.884904,0,65535,131072
1683558224.8845499,0,65535,131072
1683558225.8848743,0,65535,131072
1683558226.8860133,0,65535,131072
1683558227.885685,0,65535,131072
1683558228.8853552,0,65535,131072
1683558229.880348,0,65535,131072
1683558230.8796902,0,65535,131072
1683558231.8803,0,65535,131072
1683558232.8798637,0,65535,131072
1683558233.880943,0,65535,131072
1683558234.8821104,0,65535,131072
1683558235.8829951,0,65535,131072
1683558236.8828537,0,65535,131072
1683558237.8772972,0,65535,131072
1683558238.8769703,0,65535,131072
1683558239.8782966,0,65535,131072
1683558240.8779027,0,65535,131072
1683558241.879169,0,65535,131072
1683558242.8801475,0,65535,131072
1683558243.8754895,0,65535,131072
1683558244.875159,0,65535,131072
1683558245.8762867,0,65535,131072
1683558246.87608,0,65535,131072
1683558247.8785956,0,65535,131072
1683558248.8781521,0,65535,131072
1683558249.8734756,0,65535,131072
1683558250.8745031,0,65535,131072
1683558251.8758135,0,65535,131072
1683558252.875617,0,65535,131072
1683558253.8763952,0,65535,131072
1683558254.8761773,0,65535,131072
1683558255.87145,0,65535,131072
1683558256.8712366,0,65535,131072
1683558257.8736737,0,65535,131072
1683558258.87478,0,65535,131072
1683558259.8752003,0,65535,131072
1683558260.874772,0,65535,131072
1683558261.8717086,0,65535,131072
1683558262.8713484,0,65535,131072
1683558263.8724906,0,65535,131072
1683558264.8720155,0,65535,131072
1683558265.8732004,0,65535,131072
1683558266.868593,0,65535,131072
1683558267.8690732,0,65535,131072
1683558268.8685997,0,65535,131072
1683558269.8698215,0,65535,131072
1683558270.8694339,0,65535,131072
1683558271.8704758,0,65535,131072
1683558272.870886,0,65535,131072
1683558273.8668625,0,65535,131072
1683558274.8674588,0,65535,131072
1683558275.868442,0,65535,131072
1683558276.8679974,0,65535,131072
1683558277.868481,0,65535,131072
1683558278.8681772,0,65535,131072
1683558279.8634734,0,65535,131072
1683558280.8632889,0,65535,131072
1683558281.8636048,0,65535,131072
1683558282.8647547,0,65535,131072
1683558283.8665898,0,65535,131072
1683558284.8661697,0,65535,131072
1683558285.862277,0,65535,131072
1683558286.862006,0,65535,131072
1683558287.863061,0,65535,131072
1683558288.862717,0,65535,131072
1683558289.8639247,0,65535,131072
1683558290.8649395,0,65535,131072
1683558291.8603168,0,65535,131072
1683558292.8598502,0,65535,131072
1683558293.8604224,0,65535,131072
1683558294.8601563,0,65535,131072
1683558295.8610046,0,65535,131072
1683558296.8606877,0,65535,131072
1683558297.8619213,0,65535,131072
