timestamp,time_boot_ms,lat,lon,alt,relative_alt,vx,vy,vz,hdg
1683558082.9308503,1479442,-353632622,1491652376,584380,4,-1,2,0,35351
1683558083.930663,1480442,-353632622,1491652376,584380,0,-1,2,0,35351
1683558084.93236,1481442,-353632622,1491652376,584370,0,-1,2,0,35351
1683558085.930665,1482442,-353632622,1491652376,584370,-5,-1,2,0,35351
1683558086.9274032,1483442,-353632622,1491652376,584360,-14,-1,2,0,35351
1683558087.92747,1484442,-353632622,1491652376,584370,-8,-1,2,0,35351
1683558088.929812,1485442,-353632622,1491652376,584370,-6,-1,2,0,35351
1683558089.930969,1486442,-353632622,1491652376,584330,-49,-1,2,0,35351
1683558090.926521,1487442,-353632622,1491652376,584290,-82,-1,2,1,35351
1683558091.9270499,1488442,-353632622,1491652376,584280,-92,-1,2,1,35351
1683558092.9299357,1489442,-353632622,1491652376,584280,-94,-1,2,0,35350
1683558093.9298022,1490442,-353632622,1491652376,584260,-118,-1,2,1,35351
1683558094.929887,1491442,-353632622,1491652376,584360,-13,-1,2,1,35351
1683558095.9296432,1492442,-353632622,1491652376,584340,-30,-1,2,1,35351
1683558096.9249682,1493442,-353632622,1491652376,584300,-71,-1,2,1,35351
1683558097.926174,1494442,-353632622,1491652376,584270,-100,-1,2,1,35351
1683558098.9273832,1495442,-353632622,1491652376,584250,-126,-1,2,1,35351
1683558099.9267154,1496442,-353632622,1491652376,584240,-135,-1,2,1,35350
1683558100.9279537,1497442,-353632622,1491652376,584370,0,-1,2,1,35350
1683558101.927558,1498442,-353632622,1491652376,584370,0,-1,2,0,35350
1683558102.9226215,1499442,-353632622,1491652376,584380,3,-1,2,0,35350
1683558103.9219267,1500442,-353632622,1491652376,584390,13,-1,2,0,35350
1683558104.9223487,1501442,-353632622,1491652376,584370,-6,-1,2,0,35350
1683558105.9241247,1502442,-353632622,1491652376,584380,7,-1,2,0,35350
1683558106.9237156,1503442,-353632622,1491652376,584390,16,-1,2,0,35350
1683558107.9233954,1504442,-353632622,1491652376,584430,50,-1,2,0,35349
