timestamp,time_usec,AOA,SSA
1683558011.96059,1408442500,0.0,0.0
1683558012.9577293,1409442500,0.0,0.0
1683558013.957361,1410442500,0.0,0.0
1683558014.9544322,1411442500,0.0,0.0
1683558015.9536903,1412442500,0.0,0.0
1683558016.9531662,1413442500,0.0,0.0
1683558017.951634,1414442500,0.0,0.0
1683558018.9518483,1415442500,0.0,0.0
1683558019.9508636,1416442500,0.0,0.0
1683558020.9505372,1417442500,0.0,0.0
1683558021.950755,1418442500,0.0,0.0
1683558022.9499185,1419442500,0.0,0.0
1683558023.9517918,1420442500,0.0,0.0
1683558024.9526846,1421442500,0.0,0.0
1683558025.948471,1422442500,0.0,0.0
1683558026.94802,1423442500,0.0,0.0
1683558027.9501705,1424442500,0.0,0.0
1683558028.949483,1425442500,0.0,0.0
1683558029.9478698,1426442500,0.0,0.0
1683558030.9481304,1427442500,0.0,0.0
1683558031.9477413,1428442500,0.0,0.0
1683558032.947456,1429442500,0.0,0.0
1683558033.9493363,1430442500,0.0,0.0
1683558034.9485478,1431442500,0.0,0.0
1683558035.9450247,1432442500,0.0,0.0
1683558036.9468324,1433442500,0.0,0.0
1683558037.947273,1434442500,0.0,0.0
1683558038.9468803,1435442500,0.0,0.0
1683558039.9458265,1436442500,0.0,0.0
1683558040.9442086,1437442500,0.0,0.0
1683558041.9459774,1438442500,0.0,0.0
1683558042.9469733,1439442500,0.0,0.0
1683558043.9425492,1440442500,0.0,0.0
1683558044.9465315,1441442500,0.0,0.0
1683558045.9444911,1442442500,0.0,0.0
1683558046.9442208,1443442500,0.0,0.0
1683558047.9457345,1444442500,0.0,0.0
1683558048.9414656,1445442500,0.0,0.0
1683558049.9456904,1446442500,0.0,0.0
1683558050.9436228,1447442500,0.0,0.0
1683558051.943695,1448442500,0.0,0.0
1683558052.9417894,1449442500,0.0,0.0
1683558053.9411404,1450442500,0.0,0.0
1683558054.9389176,1451442500,0.0,0.0
1683558055.9424767,1452442500,0.0,0.0
1683558056.94305,1453442500,0.0,0.0
1683558057.9397025,1454442500,0.0,0.0
1683558058.939015,1455442500,0.0,0.0
1683558059.941732,1456442500,0.0,0.0
1683558060.937898,1457442500,0.0,0.0
1683558061.9379468,1458442500,0.0,0.0
1683558062.9400535,1459442500,0.0,0.0
1683558063.9381266,1460442500,0.0,0.0
1683558064.9391458,1461442500,0.0,0.0
1683558065.9354644,1462442500,0.0,0.0
1683558066.9362876,1463442500,0.0,0.0
1683558067.93673,1464442500,0.0,0.0
1683558068.9377296,1465442500,0.0,0.0
1683558069.9390535,1466442500,0.0,0.0
1683558070.9351752,1467442500,0.0,0.0
1683558071.9354525,1468442500,0.0,0.0
1683558072.9371152,1469442500,0.0,0.0
1683558073.9353697,1470442500,0.0,0.0
1683558074.9371607,1471442500,0.0,0.0
1683558075.9324317,1472442500,0.0,0.0
1683558076.932791,1473442500,0.0,0.0
1683558077.933571,1474442500,0.0,0.0
1683558078.934541,1475442500,0.0,0.0
