timestamp,Vcc,Vservo,flags
1683558011.9587483,5000,0,0
1683558012.9569814,5000,0,0
1683558013.9563906,5000,0,0
1683558014.9533172,5000,0,0
1683558015.95297,5000,0,0
1683558016.9524355,5000,0,0
1683558017.9509873,5000,0,0
1683558018.9507272,5000,0,0
1683558019.950096,5000,0,0
1683558020.9497988,5000,0,0
1683558021.9495378,5000,0,0
1683558022.9491327,5000,0,0
1683558023.9509907,5000,0,0
1683558024.951516,5000,0,0
1683558025.9476676,5000,0,0
1683558026.9473133,5000,0,0
1683558027.9487898,5000,0,0
1683558028.9487169,5000,0,0
1683558029.947198,5000,0,0
1683558030.947372,5000,0,0
1683558031.946975,5000,0,0
1683558032.9467223,5000,0,0
1683558033.9485648,5000,0,0
1683558034.9477682,5000,0,0
1683558035.9442873,5000,0,0
1683558036.9460945,5000,0,0
1683558037.9465837,5000,0,0
1683558038.9461386,5000,0,0
1683558039.9450521,5000,0,0
1683558040.94346,5000,0,0
1683558041.945219,5000,0,0
1683558042.946354,5000,0,0
1683558043.9419045,5000,0,0
1683558044.9457948,5000,0,0
1683558045.943458,5000,0,0
1683558046.9434698,5000,0,0
1683558047.9447672,5000,0,0
1683558048.9407005,5000,0,0
1683558049.9446483,5000,0,0
1683558050.9429865,5000,0,0
1683558051.9427085,5000,0,0
1683558052.9410512,5000,0,0
1683558053.940288,5000,0,0
1683558054.938295,5000,0,0
1683558055.941628,5000,0,0
1683558056.9423258,5000,0,0
1683558057.9389431,5000,0,0
1683558058.938233,5000,0,0
1683558059.9407969,5000,0,0
1683558060.9371438,5000,0,0
1683558061.9369833,5000,0,0
1683558062.9393456,5000,0,0
1683558063.9371727,5000,0,0
1683558064.9383097,5000,0,0
1683558065.9345217,5000,0,0
1683558066.9355764,5000,0,0
1683558067.9357712,5000,0,0
1683558068.9369917,5000,0,0
1683558069.938129,5000,0,0
1683558070.934294,5000,0,0
1683558071.934611,5000,0,0
1683558072.9364583,5000,0,0
1683558073.9344125,5000,0,0
1683558074.9364367,5000,0,0
1683558075.931301,5000,0,0
1683558076.9321215,5000,0,0
1683558077.932586,5000,0,0
1683558078.933477,5000,0,0
1683558079.9331791,5000,0,0
1683558080.9301174,5000,0,0
1683558081.930636,5000,0,0
1683558082.930912,5000,0,0
1683558083.930726,5000,0,0
1683558084.9324286,5000,0,0
1683558085.9307277,5000,0,0
1683558086.9274898,5000,0,0
1683558087.9275336,5000,0,0
1683558088.9298751,5000,0,0
1683558089.9310343,5000,0,0
1683558090.9265802,5000,0,0
1683558091.9271114,5000,0,0
1683558092.9299936,5000,0,0
1683558093.9298835,5000,0,0
1683558094.9299493,5000,0,0
1683558095.9297278,5000,0,0
1683558096.925032,5000,0,0
1683558097.9262383,5000,0,0
1683558098.9274426,5000,0,0
1683558099.9267735,5000,0,0
1683558100.9280431,5000,0,0
1683558101.9276197,5000,0,0
1683558102.922716,5000,0,0
1683558103.9219942,5000,0,0
1683558104.9224179,5000,0,0
1683558105.924191,5000,0,0
1683558106.923771,5000,0,0
1683558107.923458,5000,0,0
1683558108.9232032,5000,0,0
1683558109.9228907,5000,0,0
1683558110.9225113,5000,0,0
1683558111.9224198,5000,0,0
1683558112.9218698,5000,0,0
1683558113.9236362,5000,0,0
1683558114.9233222,5000,0,0
1683558115.9224796,5000,0,0
1683558116.9221394,5000,0,0
1683558117.9173596,5000,0,0
1683558118.917096,5000,0,0
1683558119.9166803,5000,0,0
1683558120.9165564,5000,0,0
1683558121.9167242,5000,0,0
1683558122.9163957,5000,0,0
1683558123.9162,5000,0,0
1683558124.9158902,5000,0,0
1683558125.9153507,5000,0,0
1683558126.9150712,5000,0,0
1683558127.9149816,5000,0,0
1683558128.9143815,5000,0,0
1683558129.915296,5000,0,0
1683558130.9158142,5000,0,0
1683558131.9155378,5000,0,0
1683558132.9158945,5000,0,0
1683558133.9156225,5000,0,0
1683558134.9152515,5000,0,0
1683558135.9149122,5000,0,0
1683558136.9144948,5000,0,0
1683558137.915688,5000,0,0
1683558138.9153366,5000,0,0
1683558139.914964,5000,0,0
1683558140.9146512,5000,0,0
1683558141.9143403,5000,0,0
1683558142.913986,5000,0,0
1683558143.9137075,5000,0,0
1683558144.913342,5000,0,0
1683558145.908784,5000,0,0
1683558146.9084325,5000,0,0
1683558147.909514,5000,0,0
1683558148.9090965,5000,0,0
1683558149.910257,5000,0,0
1683558150.910691,5000,0,0
1683558151.9109433,5000,0,0
1683558152.9106786,5000,0,0
1683558153.9067545,5000,0,0
1683558154.9062963,5000,0,0
1683558155.907597,5000,0,0
1683558156.9071813,5000,0,0
1683558157.9082985,5000,0,0
1683558158.9079437,5000,0,0
1683558159.9033666,5000,0,0
1683558160.9028351,5000,0,0
1683558161.9061859,5000,0,0
1683558162.9058862,5000,0,0
1683558163.9069932,5000,0,0
1683558164.9066033,5000,0,0
1683558165.9012976,5000,0,0
1683558166.9059927,5000,0,0
1683558167.9057086,5000,0,0
1683558168.9053717,5000,0,0
1683558169.90153,5000,0,0
1683558170.9012465,5000,0,0
1683558171.902164,5000,0,0
1683558172.9021363,5000,0,0
1683558173.9022934,5000,0,0
1683558174.9014559,5000,0,0
1683558175.9016216,5000,0,0
1683558176.9014025,5000,0,0
1683558177.898143,5000,0,0
1683558178.897842,5000,0,0
1683558179.8995252,5000,0,0
1683558180.899148,5000,0,0
1683558181.8997073,5000,0,0
1683558182.8992639,5000,0,0
1683558183.8996124,5000,0,0
1683558184.8994074,5000,0,0
1683558185.896862,5000,0,0
1683558186.8972368,5000,0,0
1683558187.8968465,5000,0,0
1683558188.8965547,5000,0,0
1683558189.8983765,5000,0,0
1683558190.8979573,5000,0,0
1683558191.8941085,5000,0,0
1683558192.8937259,5000,0,0
1683558193.8955646,5000,0,0
1683558194.895425,5000,0,0
1683558195.89566,5000,0,0
1683558196.8952641,5000,0,0
1683558197.895662,5000,0,0
1683558198.8953104,5000,0,0
1683558199.8899505,5000,0,0
1683558200.8896697,5000,0,0
1683558201.8923595,5000,0,0
1683558202.891797,5000,0,0
1683558203.8886867,5000,0,0
1683558204.888463,5000,0,0
1683558205.889627,5000,0,0
1683558206.8891459,5000,0,0
1683558207.8909724,5000,0,0
1683558208.8905494,5000,0,0
1683558209.8876681,5000,0,0
1683558210.8873074,5000,0,0
1683558211.8882608,5000,0,0
1683558212.8879728,5000,0,0
1683558213.8877566,5000,0,0
1683558214.8872778,5000,0,0
1683558215.8883884,5000,0,0
1683558216.8880548,5000,0,0
1683558217.8889647,5000,0,0
1683558218.8887558,5000,0,0
1683558219.8840797,5000,0,0
1683558220.883756,5000,0,0
1683558221.8846936,5000,0,0
1683558222.8843336,5000,0,0
1683558223.884876,5000,0,0
1683558224.884523,5000,0,0
1683558225.8848505,5000,0,0
1683558226.8859904,5000,0,0
1683558227.885659,5000,0,0
1683558228.8853292,5000,0,0
1683558229.880324,5000,0,0
1683558230.879666,5000,0,0
1683558231.8802752,5000,0,0
1683558232.8798406,5000,0,0
1683558233.880917,5000,0,0
