timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,load,voltage_battery,current_battery,drop_rate_comm,errors_comm,errors_count1,errors_count2,errors_count3,errors_count4,battery_remaining
1683558011.9585183,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558012.9569526,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558013.9563427,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558014.9532852,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558015.952943,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558016.9524078,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558017.9509614,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558018.9506814,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558019.9500656,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558020.9497683,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558021.9495075,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558022.9491022,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558023.9509585,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558024.951481,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558025.9476333,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558026.9472818,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558027.9487243,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558028.9486833,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558029.9471655,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558030.9473407,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558031.9469442,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558032.9466915,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558033.9485326,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558034.9477344,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558035.944258,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558036.9460616,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558037.9465559,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558038.9461048,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558039.9450212,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558040.9434268,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558041.9451852,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558042.9463258,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558043.9418778,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558044.945765,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558045.9434087,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558046.9434366,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558047.9447353,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558048.9406688,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558049.9446166,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558050.942958,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558051.942678,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558052.9410183,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558053.9402535,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558054.9382675,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558055.9415965,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558056.942296,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558057.9388993,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558058.9381983,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558059.9407654,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558060.9371068,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558061.9369524,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558062.9393165,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558063.937136,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558064.9382522,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558065.934486,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558066.935533,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558067.9357255,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558068.9369607,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558069.9380882,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558070.9342613,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558071.9345682,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558072.9364293,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558073.934372,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558074.9364057,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558075.9312623,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558076.932095,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558077.9325492,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558078.933434,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
1683558079.9331396,325188671,308379711,322011199,0,12587,0,0,0,0,0,0,0,100
