timestamp,time_boot_ms,q1,q2,q3,q4,rollspeed,pitchspeed,yawspeed,repr_offset_q_0,repr_offset_q_1,repr_offset_q_2,repr_offset_q_3
1683560343.1182146,984562,0.990509033203125,0.006956740282475948,0.12231004238128662,-0.06231916323304176,-0.0002176961861550808,-0.0002752239815890789,-0.0004337150603532791,0.0,0.0,0.0,0.0
1683560343.1573656,984602,0.9905089735984802,0.006956794299185276,0.12230966985225677,-0.06232137605547905,-0.00020864116959273815,-0.00030104839242994785,-0.00046205148100852966,0.0,0.0,0.0,0.0
1683560343.1772797,984622,0.9905088543891907,0.00695660850033164,0.12230938673019409,-0.06232352927327156,-0.00020852615125477314,-0.00027025816962122917,-0.0005292391870170832,0.0,0.0,0.0,0.0
1683560343.1972957,984642,0.9905088543891907,0.006955830845981836,0.12230870872735977,-0.06232544407248497,-0.00020355056039988995,-0.000288328155875206,-0.0005244058556854725,0.0,0.0,0.0,0.0
1683560343.2172403,984662,0.9905089139938354,0.006955531891435385,0.12230779975652695,-0.06232571229338646,-0.00016936520114541054,-0.0003355070948600769,-0.0003897531423717737,0.0,0.0,0.0,0.0
1683560343.2571552,984702,0.9905086755752563,0.00695659639313817,0.12230817973613739,-0.0623285174369812,-0.00014898553490638733,-0.0002985664177685976,-0.0005085081793367863,0.0,0.0,0.0,0.0
1683560343.2772064,984722,0.9905085563659668,0.006957605481147766,0.12230895459651947,-0.06232925131917,-0.0001800286117941141,-0.00025448319502174854,-0.00043465662747621536,0.0,0.0,0.0,0.0
1683560343.2972472,984742,0.9905084371566772,0.006958785466849804,0.12230894714593887,-0.062330637127161026,-0.0001275313552469015,-0.00028847227804362774,-0.0004333416000008583,0.0,0.0,0.0,0.0
1683560343.317144,984762,0.9905083775520325,0.006959361955523491,0.12230881303548813,-0.06233212724328041,-0.0001660326961427927,-0.0003188466653227806,-0.0005053700879216194,0.0,0.0,0.0,0.0
1683560343.3571274,984802,0.9905080199241638,0.006960222497582436,0.1223098412156105,-0.062335219234228134,-0.0001524975523352623,-0.00018032523803412914,-0.0004776178393512964,0.0,0.0,0.0,0.0
1683560343.3771207,984822,0.9905079007148743,0.0069606006145477295,0.12230998277664185,-0.06233726814389229,-0.000122743658721447,-0.00022421334870159626,-0.0005129731725901365,0.0,0.0,0.0,0.0
1683560343.3971748,984842,0.9905079007148743,0.006959990598261356,0.12230917066335678,-0.06233898177742958,-0.00022199912928044796,-0.00031116860918700695,-0.00047291722148656845,0.0,0.0,0.0,0.0
