timestamp,time_boot_ms,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,temperature
1683559785.721445,427022,244,0,-969,2,2,2,347,80,-457,4017
1683559785.7601945,427062,244,0,-969,2,2,2,347,80,-457,4018
1683559785.7801774,427082,244,0,-969,2,2,2,347,80,-457,4018
1683559785.8009307,427102,244,0,-969,2,2,2,347,80,-457,4018
1683559785.8209188,427122,244,0,-969,2,2,2,347,80,-457,4018
1683559785.8608692,427162,244,0,-969,2,2,2,347,80,-457,4018
1683559785.8808544,427182,244,0,-969,2,2,2,347,80,-457,4018
1683559785.900825,427202,244,0,-969,2,2,2,347,80,-457,4018
1683559785.9208574,427222,244,0,-969,2,2,2,347,80,-457,4018
1683559785.9608045,427262,244,0,-969,2,2,2,347,80,-457,4018
1683559785.9808183,427282,244,0,-969,2,2,2,347,80,-457,4018
1683559786.0007212,427302,244,0,-969,2,2,2,347,80,-457,4018
1683559786.0207665,427322,244,0,-969,2,2,2,347,80,-457,4018
1683559786.0607605,427362,244,0,-969,2,2,2,347,80,-457,4018
1683559786.0807962,427382,244,0,-969,2,2,2,347,80,-457,4018
1683559786.101339,427402,244,0,-969,2,2,2,347,80,-457,4018
1683559786.1214116,427422,244,0,-969,2,2,2,347,80,-457,4018
1683559786.1613727,427462,244,0,-969,2,2,2,347,80,-457,4018
1683559786.181358,427482,244,0,-969,2,2,2,347,80,-457,4018
1683559786.2013457,427502,244,0,-969,2,2,2,347,80,-457,4018
1683559786.2883992,427522,244,0,-969,2,2,2,347,80,-457,4018
1683559786.288487,427562,244,0,-969,2,2,2,347,80,-457,4018
1683559786.288564,427582,244,0,-969,2,2,2,347,80,-457,4018
1683559786.301317,427602,244,0,-969,2,2,2,347,80,-457,4018
1683559786.3212898,427622,244,0,-969,2,2,2,347,80,-457,4018
1683559786.3613598,427662,244,0,-969,2,2,2,347,80,-457,4019
1683559786.381438,427682,244,0,-969,2,2,2,347,80,-457,4019
1683559786.4012983,427702,244,0,-969,2,2,2,347,80,-457,4019
1683559786.4212432,427722,244,0,-969,2,2,2,347,80,-457,4019
1683559786.4593785,427762,244,0,-969,2,2,2,347,80,-457,4019
1683559786.477464,427782,244,0,-969,2,2,2,347,80,-457,4019
1683559786.4972534,427802,244,0,-969,2,2,2,347,80,-457,4019
1683559786.5175457,427822,244,0,-969,2,2,2,347,80,-457,4019
1683559786.5576887,427862,244,0,-969,2,2,2,347,80,-457,4019
1683559786.5773265,427882,244,0,-969,2,2,2,347,80,-457,4019
1683559786.5970924,427902,244,0,-969,2,2,2,347,80,-457,4019
1683559786.617167,427922,244,0,-969,2,2,2,347,80,-457,4019
1683559786.6572685,427962,244,0,-969,2,2,2,347,80,-457,4019
1683559786.6770856,427982,244,0,-969,2,2,2,347,80,-457,4019
1683559786.6971056,428002,244,0,-969,2,2,2,347,80,-457,4019
1683559786.7171407,428022,244,0,-969,2,2,2,347,80,-457,4019
1683559786.756998,428062,244,0,-969,2,2,2,347,80,-457,4019
1683559786.777261,428082,244,0,-969,2,2,2,347,80,-457,4019
1683559786.7971804,428102,244,0,-969,2,2,2,347,80,-457,4019
1683559786.8170307,428122,244,0,-969,2,2,2,347,80,-457,4019
1683559786.8572462,428162,244,0,-969,2,2,2,347,80,-457,4019
1683559786.8770711,428182,244,0,-969,2,2,2,347,80,-457,4019
1683559786.8970032,428202,244,0,-969,2,2,2,347,80,-457,4019
1683559786.9170086,428222,244,0,-969,2,2,2,347,80,-457,4019
1683559786.95707,428262,244,0,-969,2,2,2,347,80,-457,4019
1683559786.977029,428282,244,0,-969,2,2,2,347,80,-457,4020
1683559786.997019,428302,244,0,-969,2,2,2,347,80,-457,4020
1683559787.0169954,428322,244,0,-969,2,2,2,347,80,-457,4020
1683559787.057173,428362,244,0,-969,2,2,2,347,80,-457,4020
1683559787.0769641,428382,244,0,-969,2,2,2,347,80,-457,4020
1683559787.0968091,428402,244,0,-969,2,2,2,347,80,-457,4020
1683559787.1171756,428422,244,0,-969,2,2,2,347,80,-457,4020
1683559787.1634722,428462,244,0,-969,2,2,2,347,80,-457,4020
1683559787.177025,428482,244,0,-969,2,2,2,347,80,-457,4020
1683559787.1970785,428502,244,0,-969,2,2,2,347,80,-457,4020
1683559787.216876,428522,244,0,-969,2,2,2,347,80,-457,4020
1683559787.2568753,428562,244,0,-969,2,2,2,347,80,-457,4020
1683559787.2768776,428582,244,0,-969,2,2,2,347,80,-457,4020
1683559787.296872,428602,244,0,-969,2,2,2,347,80,-457,4020
1683559787.3168714,428622,244,0,-969,2,2,2,347,80,-457,4020
1683559787.356777,428662,244,0,-969,2,2,2,347,80,-457,4020
1683559787.3768177,428682,244,0,-969,2,2,2,347,80,-457,4020
1683559787.3967223,428702,244,0,-969,2,2,2,347,80,-457,4020
1683559787.41687,428722,244,0,-969,2,2,2,347,80,-457,4020
1683559787.4567025,428762,244,0,-969,2,2,2,347,80,-457,4020
1683559787.4767952,428782,244,0,-969,2,2,2,347,80,-457,4020
1683559787.4966578,428802,244,0,-969,2,2,2,347,80,-457,4020
1683559787.5167112,428822,244,0,-969,2,2,2,347,80,-457,4020
1683559787.5568504,428862,244,0,-969,2,2,2,347,80,-457,4020
1683559787.5766826,428882,244,0,-969,2,2,2,347,80,-457,4020
1683559787.596627,428902,244,0,-969,2,2,2,347,80,-457,4020
1683559787.6166623,428922,244,0,-969,2,2,2,347,80,-457,4021
1683559787.6566894,428962,244,0,-969,2,2,2,347,80,-457,4021
1683559787.676812,428982,244,0,-969,2,2,2,347,80,-457,4021
1683559787.6965842,429002,244,0,-969,2,2,2,347,80,-457,4021
1683559787.7165656,429022,244,0,-969,2,2,2,347,80,-457,4021
1683559787.756486,429062,244,0,-969,2,2,2,347,80,-457,4021
1683559787.7764838,429082,244,0,-969,2,2,2,347,80,-457,4021
1683559787.7965655,429102,244,0,-969,2,2,2,347,80,-457,4021
1683559787.8167055,429122,244,0,-969,2,2,2,347,80,-457,4021
1683559787.8565488,429162,244,0,-969,2,2,2,347,80,-457,4021
1683559787.8765614,429182,244,0,-969,2,2,2,347,80,-457,4021
1683559787.896736,429202,244,0,-969,2,2,2,347,80,-457,4021
1683559787.9165306,429222,244,0,-969,2,2,2,347,80,-457,4021
1683559787.9566305,429262,244,0,-969,2,2,2,347,80,-457,4021
1683559787.9764478,429282,244,0,-969,2,2,2,347,80,-457,4021
1683559787.9964585,429302,244,0,-969,2,2,2,347,80,-457,4021
1683559788.0165172,429322,244,0,-969,2,2,2,347,80,-457,4021
1683559788.056523,429362,244,0,-969,2,2,2,347,80,-457,4021
1683559788.0773828,429382,244,0,-969,2,2,2,347,80,-457,4021
1683559788.0967882,429402,244,0,-969,2,2,2,347,80,-457,4021
1683559788.1166747,429422,244,0,-969,2,2,2,347,80,-457,4021
1683559788.156513,429462,244,0,-969,2,2,2,347,80,-457,4021
