timestamp,time_usec,servo1_raw,servo2_raw,servo3_raw,servo4_raw,servo5_raw,servo6_raw,servo7_raw,servo8_raw,port,servo9_raw,servo10_raw,servo11_raw,servo12_raw,servo13_raw,servo14_raw,servo15_raw,servo16_raw
1683560580.6286352,200833,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.6486785,221666,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.6687715,242499,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.688745,263333,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.708867,284166,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.72925,305000,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.7548544,325833,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.7749424,346666,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.7950518,367500,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.8153574,388333,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.8353572,409166,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.8554723,430000,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.8755565,450833,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.8956878,471666,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.9215117,492500,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.9416354,513333,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.9618974,534166,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560580.9827018,555000,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.0027912,575833,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.0228188,596666,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.0429676,617500,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.0630355,638333,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.0832272,659166,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.10901,680000,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.1290731,700833,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.1491652,721666,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.1693003,742500,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.1894302,763333,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.2095478,784166,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.2296984,805000,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.2497644,825833,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.275482,846666,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.2955902,867500,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1683560581.3157494,888333,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
